Accept Payment,ክፍያ ተቀበል,
Amount,መጠን,
Amount Based On Field,የገንዘብ መጠን መስክ ላይ የተመሠረተ,
Amount Field,የገንዘብ መጠን መስክ,
Attributes,ባህሪያት,
Button Help,የአዝራር እገዛ,
Button Label,የአዝራር መለያ ስም,
Compact Item Print,ውሱን ንጥል አትም,
Company,ኩባንያ,
Currency,ገንዘብ,
Customer,ደምበኛ,
Description,መግለጫ,
HTML / Banner that will show on the top of product list.,የምርት ዝርዝር አናት ላይ ያሳያል የ HTML / ሰንደቅ.,
Is Billing Contact,የሂሳብ አከፋፈል ዕውቂያ ነው,
Is Your Company Address,የእርስዎ ኩባንያ አድራሻ ነው,
Item Fields,የእቃ መስኮች።,
Keyboard Shortcuts,የቁልፍ ሰሌዳ አቋራጮች።,
Payment Gateway,የክፍያ ጌትዌይ,
Payments,ክፍያዎች,
Print UOM after Quantity,ከቁጥር በኋላ UOM ን ያትሙ,
Print taxes with zero amount,በዜሮ መጠን ግብር ያትሙ,
Products,ምርቶች,
Reload,ዳግም ጫን,
Route,መንገድ,
Session Defaults,የክፍለ ጊዜ ነባሪዎች።,
Show in Website,በድር ጣቢያ ውስጥ አሳይ,
Show this slideshow at the top of the page,በገጹ ላይኛው ክፍል ላይ ይህን ተንሸራታች ትዕይንት አሳይ,
Slideshow,የተንሸራታች ትዕይንት,
Tax Category,የግብር ምድብ።,
Title,አርእስት,
View Website,ይመልከቱ ድር ጣቢያ,
Website Settings,የድር ጣቢያ ቅንብሮች,
Website Specifications,የድር ጣቢያ ዝርዝር,
Weightage,Weightage,
