Accept Payment,ព្រមទទួលការទូទាត់,
Amount,ចំនួនទឹកប្រាក់,
Amount Based On Field,ចំនួនទឹកប្រាក់ដោយផ្អែកលើវាល,
Amount Field,វាលចំនួនទឹកប្រាក់,
Attributes,គុណលក្ខណៈ,
Button Help,ជំនួយប៊ូតុង,
Button Label,ស្លាកប៊ូតុង,
Compact Item Print,ធាតុបង្រួមបោះពុម្ព,
Company,ក្រុមហ៊ុន,
Currency,រូបិយប័ណ្ណ,
Customer,អតិថិជន,
Description,ការពិពណ៌នាសង្ខេប,
HTML / Banner that will show on the top of product list.,ជា HTML / បដាដែលនឹងបង្ហាញនៅលើកំពូលនៃបញ្ជីផលិតផល។,
Is Billing Contact,តើទំនាក់ទំនងចេញវិក្កយបត្រ,
Is Your Company Address,គឺជាអាសយដ្ឋានក្រុមហ៊ុនរបស់អ្នក,
Item Fields,វាលធាតុ។,
Keyboard Shortcuts,ផ្លូវកាត់ក្តារចុច។,
Payment Gateway,ការទូទាត់,
Payments,ការទូទាត់,
Print UOM after Quantity,បោះពុម្ព UOM បន្ទាប់ពីបរិមាណ,
Print taxes with zero amount,បោះពុម្ពពន្ធដែលមានលេខសូន្យ,
Products,ផលិតផល,
Reload,ផ្ទុកឡើងវិញ,
Route,ផ្លូវ,
Session Defaults,លំនាំដើមវេន។,
Show in Website,បង្ហាញនៅក្នុងគេហទំព័រ,
Show this slideshow at the top of the page,បង្ហាញតែការបញ្ចាំងស្លាយនេះនៅកំពូលនៃទំព័រ,
Slideshow,ការបញ្ចាំងស្លាយ,
Tax Category,ប្រភេទពន្ធ។,
Title,ចំណងជើង,
View Website,មើលគេហទំព័រ,
Website Settings,ការកំណត់វេបសាយ,
Website Specifications,ជាក់លាក់វេបសាយ,
Weightage,Weightage,
