Accept Payment,peredayînê,
Amount,Biha,
Amount Based On Field,Şêwaz li ser Field,
Amount Field,Şêwaz Field,
Attributes,taybetmendiyên xwe,
Button Help,Button Alîkarî,
Button Label,Label Button,
Compact Item Print,Babetê Compact bo çapkirinê,
Company,Şîrket,
Currency,Diravcins,
Customer,Miştirî,
Description,Terîf,
HTML / Banner that will show on the top of product list.,HTML / Banner ku li ser lîsteya berheman dê nîşan bide.,
Is Billing Contact,Têkiliya Billing e,
Is Your Company Address,E Company te Address,
Item Fields,Kevirên Tête,
Keyboard Shortcuts,Kurtikên Pêl,
Payment Gateway,Gateway Payment,
Payments,Payments,
Print UOM after Quantity,Li dû Hêmanê UOM çap bikin,
Print taxes with zero amount,Bacê bi mûzek zûtirîn çap bikin,
Products,Products,
Reload,Rûpelê,
Route,Rêk,
Session Defaults,Session Defaults,
Show in Website,Di Malperê de Nîşan bidin,
Show this slideshow at the top of the page,Nîşan bide vî slideshow li jor li ser vê rûpelê,
Slideshow,Slideshow,
Tax Category,Kategoriya Bacê,
Title,Nav,
View Website,View Website,
Website Settings,Settings Website,
Website Specifications,Specifications Website,
Weightage,Weightage,
