Accept Payment,قطعا د منلو ته,
Amount,اندازه,
Amount Based On Field,اندازه په ساحوي,
Amount Field,مقدار د ساحوي,
Attributes,صفات,
Button Help,تڼی په مرسته,
Button Label,تڼی په نښه د,
Compact Item Print,د تړون د قالب چاپ,
Company,شرکت,
Currency,د اسعارو,
Customer,پيرودونکو,
Description,Description,
HTML / Banner that will show on the top of product list.,HTML / بنر چې به د محصول د لست په سر وښيي.,
Is Billing Contact,د بیلینګ اړیکه ده,
Is Your Company Address,آیا ستاسو شرکت پته,
Item Fields,د توکو ډګرونه,
Keyboard Shortcuts,کيلي لنډلار,
Payment Gateway,د پیسو ليدونکی,
Payments,د پیسو ورکړه,
Print UOM after Quantity,د مقدار وروسته UOM چاپ کړئ,
Print taxes with zero amount,د صفر مقدار سره مالیات چاپ کړئ,
Products,محصولات,
Reload,Reload,
Route,لار,
Session Defaults,د ناستې ټاکل,
Show in Website,په ویب پا inه کې ښودل,
Show this slideshow at the top of the page,د پاڼې په سر کې د دې سلاید وښایاست,
Slideshow,سلاید شو,
Tax Category,د مالیه کټګورۍ,
Title,نوم,
View Website,محتویات وېب پاڼه,
Website Settings,وېب پاڼه امستنې,
Website Specifications,وېب پاڼه ځانګړتیاو,
Weightage,Weightage,
