Accept Payment,приймати Оплата,
Amount,Сума,
Amount Based On Field,Сума На підставі поле,
Amount Field,сума поле,
Attributes,Атрибути,
Button Help,кнопка Допомога,
Button Label,кнопка Етикетка,
Compact Item Print,Компактний товару друку,
Company,Компанія,
Currency,Валюта,
Customer,Клієнт,
Description,Опис,
HTML / Banner that will show on the top of product list.,"HTML / банер, який буде відображатися у верхній частині списку продукції.",
Is Billing Contact,Це контактний особа для оплати,
Is Your Company Address,Є адресою Вашої компанії,
Item Fields,Поля предмета,
Keyboard Shortcuts,Гарячі клавіши,
Payment Gateway,Платіжний шлюз,
Payments,Платежі,
Print UOM after Quantity,Друк UOM після кількості,
Print taxes with zero amount,Надрукувати податки з нульовою сумою,
Products,Продукція,
Reload,Оновити,
Route,Маршрут,
Session Defaults,За замовчуванням сесії,
Show in Website,Показати на веб-сайті,
Show this slideshow at the top of the page,Показати це слайд-шоу на верху сторінки,
Slideshow,Слайд-шоу,
Tax Category,Податкова категорія,
Title,Назва,
View Website,Подивитися веб-сайт,
Website Settings,Налаштування веб-сайту,
Website Specifications,Характеристики веб-сайту,
Weightage,Weightage,
